Sequence,EventName,ClientComponent,ClientFunction,ServerComponent,ServerFunction,RelationshipType,EventTimestamp
92,get_default_io_service,/extern/cpp_redis/tacopie/sources/network/tcp_client.cpp,tcp_client,/extern/cpp_redis/tacopie/includes/tacopie/network/io_service.hpp,get_default_io_service,Command,2026-05-22T12:42:09.516085Z
93,commit,/src/Utilities/IDC/NetworkLayer/Redis/RedisPublisher.cpp,publish,/extern/cpp_redis/includes/cpp_redis/core/client.hpp,commit,Command,2026-05-22T12:42:09.517085Z
94,cancelHandler,/src/Utilities/IDC/NetworkLayer/Serial/SerialHandler.cpp,~SerialHandler,/include/cpsCore/Utilities/IDC/NetworkLayer/Serial/SerialHandler.h,cancelHandler,Command,2026-05-22T12:42:09.518085Z
95,stream,/src/Utilities/IPC/detail/SharedMemorySubscriptionImpl.cpp,cancel,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.519085Z
96,deserialize,/tests/Utilities/AngleTest.cpp,C_A_T_C_H_T_E_S_T_2,/include/cpsCore/Utilities/DataPresentation/BinarySerialization.hpp,deserialize,Command,2026-05-22T12:42:09.520085Z
97,get_default_io_service,/extern/cpp_redis/tacopie/sources/network/tcp_server.cpp,tcp_server,/extern/cpp_redis/tacopie/includes/tacopie/network/io_service.hpp,get_default_io_service,Command,2026-05-22T12:42:09.521085Z
98,read,/src/Utilities/DataPresentation/detail/BasicSerialization.cpp,load,/include/cpsCore/Utilities/DataPresentation/detail/File/FileFromArchive.h,read,Command,2026-05-22T12:42:09.522085Z
99,getBit,/src/Utilities/DataPresentation/hamming74.cpp,decode,/include/cpsCore/Utilities/DataPresentation/hamming74.h,getBit,Command,2026-05-22T12:42:09.523085Z
100,now,/src/Utilities/TimeProvider/SystemTimeProvider.cpp,timeSinceStart,/include/cpsCore/Utilities/TimeProvider/SystemTimeProvider.h,now,Command,2026-05-22T12:42:09.524085Z
101,complete,/tests/Utilities/TypeTraitsTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,complete,Command,2026-05-22T12:42:09.525085Z
102,handleExpr,/tests/Utilities/TypeTraitsTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,handleExpr,Command,2026-05-22T12:42:09.526085Z
103,set_nb_threads,/extern/cpp_redis/tacopie/sources/utils/thread_pool.cpp,thread_pool,/extern/cpp_redis/tacopie/includes/tacopie/utils/thread_pool.hpp,set_nb_threads,Command,2026-05-22T12:42:09.527085Z
104,addVector,/src/Configuration/PropertyMapper.cpp,add,/include/cpsCore/Configuration/PropertyMapper.hpp,addVector,Command,2026-05-22T12:42:09.528085Z
105,stream,/src/Utilities/IDC/NetworkLayer/Serial/SerialHandler.cpp,~SerialHandler,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.529085Z
106,instance,/tests/Configuration/PropertyMapperTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Logging/CPSLogger.h,instance,Command,2026-05-22T12:42:09.530085Z
107,setLogLevel,/tests/Configuration/PropertyMapperTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Logging/CPSLogger.h,setLogLevel,Command,2026-05-22T12:42:09.531085Z
108,disconnect,/extern/cpp_redis/sources/network/tcp_client.cpp,disconnect,/extern/cpp_redis/tacopie/includes/tacopie/network/tcp_client.hpp,disconnect,Command,2026-05-22T12:42:09.532085Z
109,flush,/src/Utilities/IDC/NetworkLayer/Serial/SerialHandler.cpp,~SerialHandler,/include/cpsCore/Logging/CPSLogger.h,flush,Command,2026-05-22T12:42:09.533085Z
110,instance,/src/Utilities/IDC/NetworkLayer/Serial/SerialHandler.cpp,~SerialHandler,/include/cpsCore/Logging/CPSLogger.h,instance,Command,2026-05-22T12:42:09.534085Z
111,test_dir,/tests/Configuration/PropertyMapperTest.cpp,C_A_T_C_H_T_E_S_T_0,/include/cpsCore/Utilities/Test/TestInfo.h,test_dir,Command,2026-05-22T12:42:09.535085Z
112,reply_ready,/extern/cpp_redis/sources/builders/array_builder.cpp,fetch_array_size,/extern/cpp_redis/includes/cpp_redis/builders/integer_builder.hpp,reply_ready,Command,2026-05-22T12:42:09.536085Z
113,stream,/src/Synchronization/SimpleRunner.cpp,runStage,/include/cpsCore/Logging/CPSLogger.h,stream,Command,2026-05-22T12:42:09.537085Z
114,convert,/src/Synchronization/SimpleRunner.cpp,runStage,/include/cpsCore/Utilities/EnumMap.hpp,convert,Command,2026-05-22T12:42:09.538085Z
115,complete,/tests/Configuration/PropertyMapperTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,complete,Command,2026-05-22T12:42:09.539085Z
116,handleExpr,/tests/Configuration/PropertyMapperTest.cpp,C_A_T_C_H_T_E_S_T_0,/extern/Catch2/single_include/catch2/catch.hpp,handleExpr,Command,2026-05-22T12:42:09.540085Z
